"No"	"キーワード"	"SEO難易度"	"月間検索数"	"CPC ($)"	"競合性"	"出現時期"
"47"	"マンション耐用年数"	"37"	"2400"	"0.71"	"20"	"1年以上前"
"48"	"減価償却資産の耐用年数等に関する省令"	"49"	"2400"	"0"	"0"	"1年以上前"
"49"	"中古車耐用年数"	"37"	"1900"	"0.04"	"6"	"1年以上前"
"50"	"耐用年数 中古車"	"31"	"1900"	"0.1"	"6"	"1年以上前"
"51"	"車 中古耐用年数"	"39"	"1900"	"0.11"	"3"	"1年以上前"
"52"	"中古車の耐用年数"	"24"	"1900"	"0.24"	"3"	"1年以上前"
"53"	"国税耐用年数"	"53"	"1600"	"0"	"0"	"1年以上前"
"54"	"洗濯機の耐用年数"	"35"	"1600"	"0.04"	"2"	"1年以上前"
"55"	"耐用年数 擁壁"	"25"	"1600"	"2.16"	"3"	"1年以上前"
"56"	"耐用年数 国税"	"33"	"1600"	"0"	"0"	"1年以内"
"57"	"耐用年数車"	"51"	"1600"	"0.14"	"4"	"1年以上前"
"58"	"洗濯機耐用年数"	"37"	"1600"	"0.04"	"2"	"1年以上前"
"59"	"ソフトウェアの耐用年数"	"39"	"1600"	"3.55"	"0"	"1年以上前"
"60"	"国税庁耐用年数"	"56"	"1600"	"0"	"0"	"1年以上前"
"61"	"減価償却資産の耐用年数表"	"43"	"1600"	"0.24"	"1"	"1年以上前"
"62"	"車の耐用年数"	"48"	"1600"	"0.17"	"4"	"1年以上前"
"63"	"耐用年数 ソフトウェア"	"36"	"1600"	"3.55"	"0"	"1年以上前"
"64"	"擁壁耐用年数"	"26"	"1600"	"2.16"	"3"	"1年以上前"
"65"	"ソフトウェア耐用年数"	"38"	"1600"	"3.55"	"0"	"1年以上前"
"66"	"車耐用年数"	"30"	"1600"	"0.11"	"5"	"1年以上前"
"67"	"耐用年数 給湯器"	"33"	"1300"	"2.09"	"18"	"1年以上前"
"68"	"軽量鉄骨造 耐用年数"	"24"	"1300"	"0.6"	"5"	"1年以上前"
"69"	"耐用年数 鉄筋コンクリート造"	"31"	"1300"	"0.97"	"3"	"1年以上前"
"70"	"耐用年数調べ方"	"47"	"1300"	"0"	"0"	"1年以上前"
"71"	"鉄筋コンクリート造耐用年数"	"27"	"1300"	"0.16"	"3"	"1年以上前"
"72"	"耐用年数国税庁"	"56"	"1300"	"0"	"0"	"1年以上前"
"73"	"rc造の耐用年数"	"28"	"1300"	"0.62"	"2"	"1年以上前"
"74"	"軽量鉄骨造の耐用年数"	"31"	"1300"	"0.76"	"7"	"1年以上前"
"75"	"建物の減価償却 耐用年数"	"33"	"1300"	"0.23"	"5"	"1年以上前"
"76"	"中古耐用年数"	"26"	"1300"	"0.28"	"0"	"1年以上前"
"77"	"rc造耐用年数"	"34"	"1300"	"0.97"	"2"	"1年以上前"
"78"	"減価償却 建物 耐用年数"	"45"	"1300"	"0.29"	"6"	"1年以上前"
"79"	"太陽光パネル耐用年数"	"26"	"1300"	"2.13"	"13"	"1年以上前"
"80"	"擁壁の耐用年数"	"28"	"1300"	"0.15"	"2"	"1年以上前"
"81"	"鉄筋コンクリート造の耐用年数"	"25"	"1300"	"0.97"	"3"	"1年以上前"
"82"	"耐用年数構築物"	"31"	"1300"	"0"	"0"	"1年以上前"
"83"	"給湯器の耐用年数"	"27"	"1300"	"2.58"	"13"	"1年以上前"
"84"	"給湯器耐用年数"	"38"	"1300"	"2.58"	"13"	"1年以上前"
"85"	"中古の耐用年数"	"25"	"1300"	"0.28"	"0"	"1年以上前"
"86"	"太陽光パネルの耐用年数"	"47"	"1300"	"1.65"	"11"	"1年以上前"
"87"	"構築物耐用年数"	"30"	"1300"	"0"	"0"	"1年以上前"
"88"	"耐用年数 太陽光パネル"	"33"	"1300"	"1.65"	"11"	"1年以上前"
"89"	"キュービクルの耐用年数"	"22"	"1000"	"1.79"	"34"	"1年以上前"
"90"	"減価償却耐用年数 パソコン"	"31"	"1000"	"0.2"	"3"	"1年以上前"
"91"	"耐用年数 車両"	"27"	"1000"	"0.02"	"0"	"1年以上前"
"92"	"パソコン耐用年数 減価償却"	"33"	"1000"	"0.56"	"5"	"1年以上前"
"93"	"耐用年数 建物付属設備"	"26"	"1000"	"0"	"0"	"1年以上前"
"94"	"国税庁 耐用年数表"	"52"	"1000"	"0"	"0"	"1年以上前"
"95"	"スマホ耐用年数"	"28"	"1000"	"0.18"	"1"	"1年以上前"
"96"	"減価償却耐用年数 建物"	"46"	"1000"	"0.47"	"3"	"1年以上前"
"97"	"鉄骨耐用年数"	"26"	"1000"	"0.14"	"3"	"1年以上前"
"98"	"耐用年数 防犯カメラ"	"21"	"1000"	"2.27"	"1"	"1年以上前"
"99"	"パソコン減価償却 耐用年数"	"43"	"1000"	"0.06"	"4"	"1年以上前"
"100"	"建物付属設備 耐用年数"	"32"	"1000"	"0"	"0"	"1年以上前"
"101"	"テレビ耐用年数"	"27"	"1000"	"0.32"	"2"	"1年以上前"
"102"	"法定耐用年数とは"	"44"	"1000"	"0"	"0"	"1年以上前"
"103"	"内装工事耐用年数"	"26"	"1000"	"0.02"	"0"	"1年以上前"
"104"	"鉄骨造法定耐用年数"	"27"	"1000"	"0"	"1"	"1年以上前"
"105"	"rcの耐用年数"	"28"	"1000"	"0.5"	"1"	"1年以上前"
"106"	"車両耐用年数"	"31"	"1000"	"0.06"	"0"	"1年以上前"
"107"	"車両の耐用年数"	"40"	"1000"	"0.02"	"0"	"1年以上前"
"108"	"軽自動車の耐用年数"	"33"	"1000"	"0.19"	"3"	"1年以上前"
"109"	"鉄骨の耐用年数"	"27"	"1000"	"0.22"	"4"	"1年以上前"
"110"	"防犯カメラの耐用年数"	"23"	"1000"	"2.27"	"1"	"1年以上前"
"111"	"耐用年数鉄骨"	"37"	"1000"	"0.66"	"4"	"1年以上前"
"112"	"鉄骨造の法定耐用年数"	"29"	"1000"	"0.55"	"3"	"1年以上前"
"113"	"国税庁の耐用年数表"	"52"	"1000"	"0"	"0"	"1年以上前"
"114"	"内装工事の耐用年数"	"34"	"1000"	"0.02"	"0"	"1年以上前"
"115"	"キュービクル耐用年数"	"23"	"1000"	"2.58"	"34"	"1年以上前"
"116"	"建物減価償却耐用年数"	"47"	"1000"	"0.47"	"3"	"1年以上前"
"117"	"耐用年数表 国税庁"	"52"	"1000"	"0"	"0"	"1年以上前"
"118"	"rc耐用年数"	"35"	"1000"	"2.54"	"1"	"1年以上前"
"119"	"法定耐用年数 鉄骨造"	"26"	"1000"	"0"	"1"	"1年以上前"
"120"	"減価償却 パソコン 耐用年数"	"31"	"1000"	"0.22"	"3"	"1年以上前"
"121"	"減価償却の耐用年数表"	"41"	"880"	"0.43"	"0"	"1年以上前"
"122"	"機械装置耐用年数 国税庁"	"56"	"880"	"0"	"0"	"1年以上前"
"123"	"複合機耐用年数"	"35"	"880"	"11.07"	"1"	"1年以上前"
"124"	"国税庁 耐用年数 構築物"	"58"	"880"	"0"	"0"	"1年以上前"
"125"	"複合機の耐用年数"	"38"	"880"	"8.75"	"2"	"1年以上前"
"126"	"自動車の耐用年数"	"39"	"880"	"0.13"	"1"	"1年以上前"
"127"	"耐用年数 固定資産"	"null"	"880"	"0"	"0"	"1年以内"
"128"	"重量鉄骨の耐用年数"	"27"	"880"	"3.04"	"3"	"1年以上前"
"129"	"耐用年数 エコキュート"	"33"	"880"	"4.38"	"39"	"1年以上前"
"130"	"耐用年数 複合機"	"27"	"880"	"2.01"	"1"	"1年以上前"
"131"	"蓄電池耐用年数"	"34"	"880"	"1.78"	"14"	"1年以上前"
"132"	"耐用年数 自転車"	"39"	"880"	"0.02"	"0"	"1年以上前"
"133"	"エアコンの 法定耐用年数"	"null"	"880"	"0"	"0"	"1年以内"
"134"	"固定資産耐用年数"	"47"	"880"	"0.52"	"0"	"1年以上前"
"135"	"パソコン 法定耐用年数"	"47"	"880"	"0"	"0"	"1年以上前"
"136"	"木造アパートの耐用年数"	"28"	"880"	"3.56"	"8"	"1年以上前"
"137"	"固定資産の耐用年数"	"46"	"880"	"0.52"	"0"	"1年以上前"
"138"	"機械装置耐用年数"	"46"	"880"	"0"	"0"	"1年以上前"
"139"	"pc耐用年数"	"47"	"880"	"0.33"	"0"	"1年以上前"
"140"	"機械・装置 耐用年数"	"null"	"880"	"0"	"0"	"1年以上前"
"141"	"エコキュートの耐用年数"	"38"	"880"	"3.65"	"27"	"1年以上前"
"142"	"国税庁 耐用年数 機械装置"	"58"	"880"	"0"	"0"	"1年以上前"
"143"	"機械装置の耐用年数"	"27"	"880"	"0"	"0"	"1年以上前"
"144"	"中古資産耐用年数計算ツール"	"43"	"880"	"0"	"0"	"1年以上前"
"145"	"自転車耐用年数"	"36"	"880"	"0.02"	"0"	"1年以上前"
"146"	"国税庁 耐用年数 別表1"	"51"	"880"	"0"	"0"	"1年以上前"
"147"	"タイヤ耐用年数"	"43"	"880"	"0.08"	"17"	"1年以上前"
"148"	"防犯カメラ耐用年数"	"30"	"880"	"3.39"	"1"	"1年以上前"
"149"	"木造アパート耐用年数"	"35"	"880"	"2.35"	"4"	"1年以上前"
"150"	"パソコン の 法定 耐用 年数"	"null"	"880"	"0"	"0"	"1年以上前"
"151"	"耐用年数 軽自動車"	"33"	"880"	"0.22"	"3"	"1年以上前"
"152"	"減価償却耐用年数表"	"42"	"880"	"0.43"	"0"	"1年以上前"
"153"	"蓄電池の耐用年数"	"25"	"880"	"1.25"	"12"	"1年以上前"
"154"	"タイヤの耐用年数"	"47"	"880"	"0.12"	"13"	"1年以上前"
"155"	"耐用年数省令"	"54"	"880"	"0"	"0"	"1年以上前"
"156"	"耐用年数 自動車"	"33"	"880"	"0.64"	"1"	"1年以上前"
"157"	"法定耐用年数 パソコン"	"46"	"880"	"0.02"	"0"	"1年以上前"
"158"	"耐用年数 機械装置"	"30"	"880"	"0"	"0"	"1年以上前"
"159"	"重量鉄骨耐用年数"	"25"	"880"	"0.34"	"3"	"1年以上前"
"160"	"自動車耐用年数"	"39"	"880"	"0.18"	"1"	"1年以上前"
"161"	"軽自動車耐用年数"	"42"	"880"	"0.22"	"3"	"1年以上前"
"162"	"耐用年数 国税庁 構築物"	"46"	"880"	"0"	"0"	"1年以上前"
"163"	"耐用年数 蓄電池"	"null"	"880"	"1.19"	"14"	"1年以上前"
"164"	"法定耐用年数 エアコン"	"24"	"880"	"0"	"0"	"1年以上前"
"165"	"エコキュート耐用年数"	"36"	"880"	"3.65"	"27"	"1年以上前"
"166"	"エアコン法定耐用年数"	"26"	"880"	"0"	"0"	"1年以上前"
"167"	"器具・備品 耐用年数"	"null"	"720"	"0"	"0"	"1年以上前"
"168"	"フローリングの耐用年数"	"34"	"720"	"2.3"	"0"	"1年以上前"
"169"	"耐用年数 コンクリート"	"34"	"720"	"0"	"0"	"1年以上前"
"170"	"耐用年数 フローリング"	"20"	"720"	"2.3"	"0"	"1年以上前"
"171"	"減価償却 エアコン 耐用年数"	"27"	"720"	"0"	"0"	"1年以上前"
"172"	"エレベータの耐用年数"	"34"	"720"	"10.38"	"3"	"1年以上前"
"173"	"減価償却耐用年数 エアコン"	"25"	"720"	"0"	"0"	"1年以上前"
"174"	"消火器耐用年数"	"34"	"720"	"1.2"	"2"	"1年以上前"
"175"	"電子レンジ耐用年数"	"22"	"720"	"0.03"	"2"	"1年以上前"
"176"	"構築物 耐用年数国税庁"	"58"	"720"	"0"	"0"	"1年以上前"
"177"	"エアコン耐用年数国税庁"	"43"	"720"	"0"	"0"	"1年以上前"
"178"	"看板の耐用年数"	"34"	"720"	"0"	"0"	"1年以上前"
"179"	"エアコン 耐用年数 国税"	"41"	"720"	"0"	"0"	"1年以上前"
"180"	"エレベーター耐用年数"	"34"	"720"	"3.32"	"4"	"1年以上前"
"181"	"サーバー耐用年数"	"37"	"720"	"0"	"0"	"1年以上前"
"182"	"屋根スレート 耐用年数"	"36"	"720"	"1.6"	"45"	"1年以上前"
"183"	"エアコン減価償却 耐用年数"	"26"	"720"	"0"	"0"	"1年以上前"
"184"	"スレート屋根耐用年数"	"29"	"720"	"2"	"43"	"1年以上前"
"185"	"耐用年数 ユニットバス"	"null"	"720"	"1.35"	"6"	"1年以上前"
"186"	"耐用年数 器具備品"	"null"	"720"	"0"	"0"	"1年以上前"
"187"	"太陽光発電の耐用年数"	"33"	"720"	"1.58"	"9"	"1年以上前"
"188"	"耐用年数 サーバ"	"26"	"720"	"0"	"0"	"1年以上前"
"189"	"耐用年数 トイレ"	"null"	"720"	"0.75"	"6"	"1年以上前"
"190"	"フローリング耐用年数"	"34"	"720"	"0"	"0"	"1年以上前"
"191"	"車の耐用年数 減価償却"	"null"	"720"	"0.15"	"10"	"1年以上前"
"192"	"エアコン耐用年数 減価償却"	"36"	"720"	"0"	"0"	"1年以上前"
"193"	"業務用エアコンの耐用年数"	"30"	"720"	"4.29"	"3"	"1年以上前"
"194"	"トイレの耐用年数"	"26"	"720"	"1.19"	"6"	"1年以上前"
"195"	"エレベータ耐用年数"	"34"	"720"	"10.38"	"3"	"1年以上前"
"196"	"減価償却耐用年数 車"	"37"	"720"	"0.13"	"7"	"1年以上前"
"197"	"工具器具備品耐用年数"	"49"	"720"	"0"	"0"	"1年以上前"
"198"	"ユニットバス耐用年数"	"21"	"720"	"1.57"	"5"	"1年以上前"
"199"	"人工芝の耐用年数"	"null"	"720"	"0.79"	"34"	"1年以上前"
"200"	"耐用年数 工具器具備品"	"33"	"720"	"0"	"0"	"1年以上前"
"201"	"コンクリート耐用年数"	"34"	"720"	"1.07"	"0"	"1年以上前"
"202"	"トイレ 耐用年数"	"25"	"720"	"0.75"	"5"	"1年以上前"
"203"	"耐用年数 太陽光発電"	"27"	"720"	"1.58"	"9"	"1年以上前"
"204"	"太陽光発電耐用年数"	"24"	"720"	"1.69"	"9"	"1年以上前"
"205"	"人工芝耐用年数"	"34"	"720"	"0.88"	"18"	"1年以上前"
"206"	"減価償却車 耐用年数"	"38"	"720"	"0.2"	"6"	"1年以上前"
"207"	"耐用年数サーバー"	"25"	"720"	"0"	"0"	"1年以上前"
"208"	"エアコン業務用 耐用年数"	"31"	"720"	"3.79"	"3"	"1年以上前"
"209"	"器具備品耐用年数"	"45"	"720"	"0"	"0"	"1年以上前"
"210"	"車減価償却 耐用年数"	"38"	"720"	"0.14"	"6"	"1年以上前"
"211"	"スレート屋根の耐用年数"	"28"	"720"	"1.7"	"45"	"1年以上前"
"212"	"耐用年数 エレベーター"	"null"	"720"	"2.41"	"2"	"1年以上前"
"213"	"消火器の耐用年数"	"null"	"720"	"0.31"	"2"	"1年以内"
"214"	"ノートパソコンの耐用年数"	"51"	"720"	"0.03"	"1"	"1年以上前"
"215"	"業務用エアコン耐用年数"	"26"	"720"	"5.24"	"3"	"1年以上前"
"216"	"サーバ耐用年数"	"38"	"720"	"0"	"0"	"1年以上前"
"217"	"ノートパソコン耐用年数"	"46"	"720"	"1.04"	"1"	"1年以上前"
"218"	"車 減価償却 耐用年数 中古"	"36"	"590"	"0.06"	"10"	"1年以上前"
"219"	"カーポートの耐用年数"	"22"	"590"	"0.57"	"2"	"1年以上前"
"220"	"減価償却費耐用年数"	"48"	"590"	"0.45"	"1"	"1年以上前"
"221"	"ドライヤー耐用年数"	"34"	"590"	"0.16"	"1"	"1年以上前"
"222"	"カーポート耐用年数"	"34"	"590"	"0.47"	"2"	"1年以上前"
"223"	"中古車減価償却耐用年数"	"36"	"590"	"0.05"	"10"	"1年以上前"
"224"	"法定耐用年数 国税庁"	"58"	"590"	"0"	"0"	"1年以上前"
"225"	"耐用年数一覧"	"44"	"590"	"0"	"0"	"1年以上前"
"226"	"耐用年数償却率"	"45"	"590"	"1.56"	"0"	"1年以上前"
"227"	"温水器 耐用年数"	"27"	"590"	"2"	"30"	"1年以上前"
"228"	"屋根の塗装耐用年数"	"26"	"590"	"2.39"	"37"	"1年以上前"
"229"	"資本的支出耐用年数"	"40"	"590"	"0"	"0"	"1年以上前"
"230"	"浄化槽耐用年数"	"34"	"590"	"0"	"0"	"1年以上前"
"231"	"減価償却耐用年数中古車"	"37"	"590"	"0.1"	"10"	"1年以上前"
"232"	"外壁塗装の耐用年数"	"27"	"590"	"2.57"	"22"	"1年以上前"
"233"	"看板耐用年数"	"34"	"590"	"0"	"0"	"1年以上前"
"234"	"耐用年数 外壁塗装"	"47"	"590"	"2.57"	"22"	"1年以上前"
"235"	"減価償却費の耐用年数"	"54"	"590"	"1.29"	"2"	"1年以上前"
"236"	"耐用年数と償却率"	"49"	"590"	"1.56"	"0"	"1年以上前"
"237"	"フォークリフト耐用年数"	"37"	"590"	"0"	"0"	"1年以上前"
"238"	"防草シート耐用年数"	"34"	"590"	"0.31"	"43"	"1年以上前"
"239"	"塗装 外壁 耐用年数"	"29"	"590"	"1.42"	"22"	"1年以上前"
"240"	"トラックの耐用年数"	"37"	"590"	"0"	"0"	"1年以上前"
"241"	"トラック耐用年数"	"37"	"590"	"0"	"0"	"1年以上前"
"242"	"耐用年数 フォークリフト"	"25"	"590"	"0"	"0"	"1年以上前"
"243"	"耐用年数 カーポート"	"34"	"590"	"0.51"	"1"	"1年以上前"
"244"	"耐用年数 トラック"	"36"	"590"	"0"	"0"	"1年以上前"
"245"	"3dプリンター住宅耐用年数"	"26"	"590"	"0"	"0"	"1年以上前"
"246"	"建物法定耐用年数"	"46"	"590"	"0.54"	"0"	"1年以上前"
"247"	"浄化槽の耐用年数"	"35"	"590"	"0"	"0"	"1年以上前"
"248"	"炊飯器耐用年数"	"21"	"590"	"0.04"	"3"	"1年以上前"
"249"	"減価償却中古車耐用年数"	"37"	"590"	"0.06"	"10"	"1年以上前"
"250"	"iphone耐用年数"	"39"	"590"	"0.19"	"1"	"1年以上前"
"251"	"耐用年数 屋根塗装"	"26"	"590"	"2.48"	"37"	"1年以上前"
"252"	"中古車 耐用年数 減価償却"	"36"	"590"	"0.06"	"10"	"1年以上前"
"253"	"cadcam冠 耐用年数"	"27"	"480"	"0.02"	"1"	"1年以上前"
"254"	"減価償却耐用年数 車両"	"40"	"480"	"0.16"	"3"	"1年以上前"
"255"	"建物附属設備 耐用年数 国税庁"	"53"	"480"	"0"	"0"	"1年以上前"
"256"	"アスファルトシングル耐用年数"	"34"	"480"	"0.42"	"9"	"1年以上前"
"257"	"国税庁 減価償却 耐用年数表"	"null"	"480"	"0"	"0"	"1年以上前"
"258"	"法定耐用年数 建物"	"43"	"480"	"3.14"	"1"	"1年以上前"
"259"	"掃除 機 の 耐用 年数"	"31"	"480"	"0.08"	"7"	"1年以上前"
"260"	"減価償却 車両 耐用年数"	"39"	"480"	"0.21"	"3"	"1年以上前"
"261"	"車減価償却耐用年数過ぎたら"	"38"	"480"	"0.02"	"1"	"1年以上前"
"262"	"倉庫の耐用年数"	"38"	"480"	"0"	"0"	"1年以内"
"263"	"物置の耐用年数"	"37"	"480"	"0"	"0"	"1年以上前"
"264"	"壁紙の耐用年数"	"34"	"480"	"0"	"0"	"1年以内"
"265"	"耐用年数 国税庁 建物"	"33"	"480"	"0"	"0"	"1年以上前"
"266"	"耐用年数 壁紙"	"23"	"480"	"0"	"0"	"1年以上前"
"267"	"耐用年数 空気清浄機"	"27"	"480"	"0.04"	"4"	"1年以上前"
"268"	"耐用年数建物"	"46"	"480"	"1.07"	"1"	"1年以上前"
"269"	"aed耐用年数"	"39"	"480"	"2.97"	"7"	"1年以上前"
"270"	"ソファー耐用年数"	"25"	"480"	"1.36"	"1"	"1年以上前"
"271"	"ソファ耐用年数"	"35"	"480"	"1.36"	"1"	"1年以上前"
"272"	"プリンタ耐用年数"	"34"	"480"	"0.02"	"1"	"1年以上前"
"273"	"建物附属設備 耐用年数"	"26"	"480"	"0"	"0"	"1年以上前"
"274"	"耐用年数 建物附属設備"	"41"	"480"	"0"	"0"	"1年以上前"
"275"	"倉庫耐用年数"	"44"	"480"	"0"	"0"	"1年以上前"
"276"	"外壁塗装耐用年数"	"28"	"480"	"1.5"	"17"	"1年以上前"
"277"	"携帯電話耐用年数"	"42"	"480"	"0"	"0"	"1年以上前"
"278"	"耐用年数 プリンタ"	"null"	"480"	"0.12"	"2"	"1年以上前"
"279"	"耐用年数 プリンター"	"null"	"480"	"0.12"	"2"	"1年以上前"
"280"	"建物の法定耐用年数"	"43"	"480"	"0"	"1"	"1年以上前"
"281"	"掃除機耐用年数"	"34"	"480"	"0.45"	"4"	"1年以上前"
"282"	"内装工事耐用年数 国税庁"	"36"	"480"	"0"	"0"	"1年以上前"
"283"	"耐用年数 ガス給湯器"	"37"	"480"	"2.14"	"19"	"1年以上前"
"284"	"s造耐用年数"	"26"	"480"	"0.5"	"3"	"1年以上前"
"285"	"物置耐用年数"	"40"	"480"	"0"	"0"	"1年以上前"
"286"	"屋根塗装耐用年数"	"34"	"480"	"2.69"	"40"	"1年以上前"
"287"	"耐用年数 倉庫"	"39"	"480"	"0"	"0"	"1年以上前"
"288"	"ガス給湯器の耐用年数"	"null"	"480"	"2.29"	"19"	"1年以上前"
"289"	"ガス給湯器耐用年数"	"38"	"480"	"2.29"	"19"	"1年以上前"
"290"	"プリンター耐用年数"	"34"	"480"	"0.13"	"1"	"1年以上前"
"291"	"医療機器耐用年数"	"34"	"390"	"0"	"0"	"1年以上前"
"292"	"耐用年数 太陽光"	"23"	"390"	"0.22"	"3"	"1年以上前"
"293"	"耐用年数 医療機器"	"34"	"390"	"0"	"0"	"1年以上前"
"294"	"コンプレッサーの耐用年数"	"34"	"390"	"6.74"	"0"	"1年以上前"
"295"	"国税 減価償却 耐用年数"	"33"	"390"	"0"	"0"	"1年以上前"
"296"	"国税庁 減価償却 耐用年数"	"56"	"390"	"0"	"0"	"1年以上前"
"297"	"ガスコンロ耐用年数"	"37"	"390"	"0.17"	"3"	"1年以上前"
"298"	"トラクター耐用年数"	"26"	"390"	"0"	"0"	"1年以上前"
"299"	"耐用年数 フェンス"	"null"	"390"	"0"	"0"	"1年以上前"
"300"	"外構工事の耐用年数"	"19"	"390"	"0"	"0"	"1年以上前"
"301"	"監視カメラの耐用年数"	"34"	"390"	"5.02"	"2"	"1年以上前"
"302"	"耐用年数 トラクター"	"25"	"390"	"0"	"0"	"1年以上前"
"303"	"車両運搬具 耐用年数"	"41"	"390"	"0"	"0"	"1年以上前"
"304"	"法定耐用年数表"	"45"	"390"	"0"	"0"	"1年以上前"
"305"	"ビニールハウス耐用年数"	"34"	"390"	"0"	"0"	"1年以上前"
"306"	"償却資産耐用年数"	"44"	"390"	"0"	"0"	"1年以上前"
"307"	"クッションフロア耐用年数"	"34"	"390"	"0"	"0"	"1年以上前"
"308"	"空気清浄機耐用年数"	"36"	"390"	"0.08"	"2"	"1年以上前"
"309"	"監視カメラ耐用年数"	"34"	"390"	"0"	"1"	"1年以上前"
"310"	"空調設備耐用年数"	"24"	"390"	"0"	"0"	"1年以上前"
"311"	"償却資産の耐用年数"	"45"	"390"	"0"	"0"	"1年以上前"
"312"	"耐用年数 外構工事"	"17"	"390"	"0"	"0"	"1年以上前"
"313"	"減価償却耐用年数 国税庁"	"59"	"390"	"0"	"0"	"1年以上前"
"314"	"耐用年数 パソコン 国税庁"	"54"	"390"	"0"	"0"	"1年以上前"
"315"	"プレハブ耐用年数"	"23"	"390"	"0"	"0"	"1年以上前"
"316"	"照明器具の耐用年数"	"34"	"390"	"0"	"0"	"1年以上前"
"317"	"車両減価償却 耐用年数"	"40"	"390"	"0.54"	"3"	"1年以上前"
"318"	"耐用年数 空調設備"	"25"	"390"	"0"	"0"	"1年以上前"
"319"	"外構工事耐用年数"	"17"	"390"	"0"	"0"	"1年以上前"
"320"	"ルーターの耐用年数"	"41"	"390"	"4.41"	"1"	"1年以上前"
