"No"	"キーワード"	"SEO難易度"	"月間検索数"	"CPC ($)"	"競合性"	"出現時期"
"58"	"スタッドレスタイヤ 資本的支出"	"null"	"30"	"0"	"0"	"1年以上前"
"59"	"資本的支出 減価償却 耐用年数"	"null"	"30"	"0"	"0"	"1年以上前"
"60"	"賃借物件 修繕費 資本的支出"	"null"	"30"	"0"	"0"	"1年以上前"
"61"	"塗装 資本的支出"	"24"	"30"	"0"	"0"	"1年以上前"
"62"	"資本的支出 耐用年数 中古"	"null"	"30"	"0"	"0"	"1年以上前"
"63"	"修繕費と資本的支出の判定フローチャート"	"null"	"30"	"0"	"0"	"1年以内"
"64"	"ソフトウェア 資本的支出20万円未満"	"null"	"30"	"0"	"0"	"1年以上前"
"65"	"資本的支出 リフォーム"	"null"	"30"	"0"	"0"	"1年以上前"
"66"	"リフォーム 資本的支出 耐用年数"	"null"	"30"	"0"	"0"	"1年以上前"
"67"	"資本的支出 修繕"	"null"	"30"	"0"	"0"	"半年以内"
"68"	"大規模修繕 資本的支出"	"28"	"30"	"0"	"0"	"1年以上前"
"69"	"リフォーム 資本的支出"	"null"	"30"	"0"	"1"	"1年以上前"
"70"	"資本的支出 償却資産税"	"null"	"30"	"0"	"0"	"1年以上前"
"71"	"中古 建物 資本的支出 耐用年数"	"null"	"30"	"0"	"0"	"1年以上前"
"72"	"フォークリフト バッテリー交換 資本的支出"	"null"	"30"	"0"	"0"	"1年以上前"
"73"	"資本的支出 30万円未満"	"null"	"30"	"0"	"0"	"1年以上前"
"74"	"防水工事 資本的支出"	"26"	"30"	"0"	"0"	"1年以上前"
"75"	"資本的支出 金額"	"null"	"30"	"0"	"1"	"1年以上前"
"76"	"少額減価償却資産 資本的支出"	"null"	"30"	"0"	"1"	"1年以上前"
"77"	"資本的支出 耐用年数 国税庁"	"null"	"30"	"0"	"0"	"1年以上前"
"78"	"資本的支出 形式基準"	"null"	"20"	"0"	"0"	"1年以上前"
"79"	"中古耐用年数 資本的支出"	"null"	"20"	"0"	"0"	"1年以上前"
"80"	"資本的支出 収益的支出 フローチャート"	"null"	"20"	"0"	"0"	"1年以上前"
"81"	"資本的支出 収益的支出 簿記3級"	"null"	"20"	"0"	"0"	"1年以上前"
"82"	"資本的支出 60万円"	"null"	"20"	"0"	"0"	"1年以上前"
"83"	"資本的支出 減価償却 簿記"	"null"	"20"	"0"	"0"	"1年以上前"
"84"	"修繕費 資本的支出 仕訳"	"null"	"20"	"0"	"0"	"1年以上前"
"85"	"簿記 資本 的 支出 と 収益 的 支出"	"null"	"20"	"0"	"0"	"1年以上前"
"86"	"資本的支出 判定"	"null"	"20"	"0"	"0"	"1年以上前"
"87"	"資本的支出 特別償却"	"null"	"20"	"0"	"0"	"1年以上前"
"88"	"内装工事 資本的支出"	"33"	"20"	"0"	"0"	"1年以上前"
"89"	"資本的支出 建物"	"null"	"20"	"0"	"0"	"1年以上前"
"90"	"法人税基本通達 7 8 6の2 ソフトウエアに係る資本的支出と修繕費"	"null"	"20"	"0"	"0"	"1年以内"
"91"	"資本的支出 60万円基準"	"null"	"20"	"0"	"0"	"1年以上前"
"92"	"資本的支出 固定資産"	"null"	"20"	"0"	"0"	"半年以内"
"93"	"資本的支出 例"	"null"	"20"	"0"	"1"	"1年以上前"
"94"	"レイアウト変更 資本的支出"	"null"	"20"	"0"	"0"	"1年以上前"
"95"	"資本的支出 会計基準"	"null"	"20"	"0"	"0"	"1年以上前"
"96"	"資本的支出 収益的支出 仕訳"	"null"	"20"	"0"	"0"	"1年以上前"
"97"	"用途変更 資本的支出"	"null"	"20"	"0"	"0"	"1年以上前"
"98"	"部品交換 資本的支出"	"null"	"20"	"0"	"0"	"1年以上前"
"99"	"車両 修繕費 資本的支出"	"null"	"20"	"0"	"0"	"1年以上前"
"100"	"資本的支出 減価償却方法"	"null"	"20"	"0"	"0"	"1年以上前"
"101"	"資本的支出 相続税評価"	"null"	"20"	"0"	"1"	"1年以上前"
"102"	"資本的支出 フロー"	"null"	"20"	"0"	"0"	"半年以内"
"103"	"資本的支出 10万円未満"	"null"	"20"	"0"	"0"	"1年以上前"
"104"	"資本的支出 capex"	"null"	"20"	"0"	"0"	"1年以上前"
"105"	"資本的支出 計算方法"	"null"	"20"	"0"	"0"	"1年以上前"
"106"	"中古資産 資本的支出 耐用年数 国税庁"	"null"	"20"	"0"	"0"	"1年以上前"
"107"	"エアコン交換 修繕費 資本的支出"	"null"	"20"	"0"	"0"	"1年以上前"
"108"	"修繕費か資本的支出か フローチャート"	"null"	"20"	"0"	"0"	"1年以上前"
"109"	"資本的支出 収益的支出 違い"	"26"	"20"	"0"	"0"	"1年以上前"
"110"	"外壁塗装修繕費資本的支出"	"null"	"20"	"0"	"0"	"1年以上前"
"111"	"撤去費用 資本的支出"	"null"	"20"	"0"	"0"	"1年以上前"
"112"	"エンジン交換 資本的支出"	"null"	"20"	"0"	"0"	"1年以上前"
"113"	"タイヤ交換 資本的支出"	"22"	"20"	"0"	"0"	"1年以上前"
"114"	"固定資産 資本的支出とは"	"null"	"20"	"0"	"0"	"1年以上前"
"115"	"資本的支出 簿記"	"null"	"20"	"0"	"0"	"1年以上前"
"116"	"資本的支出 固定資産税"	"null"	"20"	"0"	"0"	"1年以上前"
"117"	"エレベーター制御盤修繕費資本的支出"	"null"	"20"	"0"	"0"	"1年以上前"
"118"	"賃貸物件 修繕費 資本的支出"	"null"	"20"	"0"	"1"	"1年以上前"
"119"	"改修工事 資本的支出"	"53"	"20"	"0"	"0"	"1年以上前"
"120"	"エレベーター 修繕費 資本的支出"	"null"	"20"	"0"	"0"	"1年以上前"
"121"	"シャッター交換 資本的支出"	"25"	"20"	"0"	"0"	"1年以上前"
"122"	"塗装工事 資本的支出"	"26"	"20"	"0"	"0"	"1年以上前"
"123"	"雨漏り 修繕費資本的支出"	"23"	"20"	"0"	"0"	"1年以上前"
"124"	"資本的支出 20万円"	"null"	"20"	"0"	"0"	"1年以上前"
"125"	"led 資本的支出 国税庁"	"null"	"20"	"0"	"0"	"1年以上前"
"126"	"資本的支出 通達"	"null"	"20"	"0"	"0"	"1年以上前"
"127"	"建物修繕 資本的支出"	"null"	"20"	"0"	"0"	"1年以上前"
"128"	"資本的支出 会計処理"	"null"	"20"	"0"	"2"	"1年以上前"
"129"	"資本的支出 定義"	"null"	"20"	"0"	"0"	"1年以上前"
"130"	"資本的支出 収益的支出わかりやすく"	"null"	"20"	"0"	"1"	"1年以上前"
"131"	"修繕費 資本的支出 フローチャート pdf"	"null"	"10"	"0"	"0"	"1年以上前"
"132"	"資本的支出 減価償却費違い"	"null"	"10"	"0"	"0"	"1年以上前"
"133"	"車両 塗装 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"134"	"資本的支出 耐用年数 残存年数"	"null"	"10"	"0"	"0"	"1年以上前"
"135"	"リース資産 資本的支出 耐用年数"	"null"	"10"	"0"	"0"	"1年以上前"
"136"	"led工事 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"137"	"資本的支出 一括償却資産 適用"	"null"	"10"	"0"	"0"	"1年以上前"
"138"	"屋上防水工事 資本的支出"	"26"	"10"	"0"	"0"	"1年以上前"
"139"	"外壁工事 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"140"	"外壁塗装工事修繕費資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"141"	"カーペット張替え 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"142"	"建物修繕費 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"143"	"建物 資本的支出 償却資産税"	"null"	"10"	"0"	"0"	"1年以上前"
"144"	"タイル 張替え 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"145"	"修繕費と資本的支出の判断基準"	"null"	"10"	"0"	"1"	"1年以上前"
"146"	"照明 led化 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"147"	"漏水工事 資本的支出"	"27"	"10"	"0"	"0"	"1年以上前"
"148"	"法人税法 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"149"	"耐用年数 資本的支出"	"null"	"10"	"0"	"0"	"過去90日"
"150"	"資本的支出 外壁塗装"	"null"	"10"	"0"	"0"	"1年以上前"
"151"	"修繕費 資本的支出 判定"	"null"	"10"	"0"	"1"	"1年以上前"
"152"	"扉交換 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"153"	"車両 資本的支出 耐用年数"	"null"	"10"	"0"	"0"	"1年以上前"
"154"	"資本的支出 主要部品とは"	"null"	"10"	"0"	"0"	"1年以上前"
"155"	"資本的支出 10"	"null"	"10"	"0"	"0"	"1年以上前"
"156"	"オーバーホール 修繕費 資本的支出"	"null"	"10"	"0"	"0"	"半年以内"
"157"	"トイレ 和式から洋式 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"158"	"屋根 修繕費 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"159"	"エレベーター 駆動装置 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"160"	"塗装 修繕費 資本的支出"	"null"	"10"	"0"	"0"	"半年以内"
"161"	"解体工事 修繕費 資本的支出"	"32"	"10"	"0"	"0"	"1年以上前"
"162"	"リース資産 資本的支出 会計処理"	"null"	"10"	"0"	"11"	"1年以上前"
"163"	"交換 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"164"	"中古物件 資本的支出 耐用年数"	"null"	"10"	"0"	"0"	"1年以上前"
"165"	"外壁塗装 資本的支出 修繕費"	"null"	"10"	"0"	"0"	"1年以上前"
"166"	"減価償却 資本的支出 合算 計算方法"	"null"	"10"	"0"	"0"	"1年以上前"
"167"	"屋根塗装 資本的支出"	"50"	"10"	"0"	"0"	"1年以上前"
"168"	"耐震工事 資本的支出"	"22"	"10"	"0"	"0"	"1年以上前"
"169"	"リフォーム 修繕費 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"170"	"エレベーター修繕 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"171"	"資本的支出 旧定額法"	"null"	"10"	"0"	"0"	"1年以上前"
"172"	"資本的支出 消費税"	"null"	"10"	"0"	"0"	"1年以上前"
"173"	"資本的支出 中古資産 耐用年数"	"null"	"10"	"0"	"0"	"1年以上前"
"174"	"一括償却資産 資本的支出 国税庁"	"null"	"10"	"0"	"0"	"1年以上前"
"175"	"屋根修理 資本的支出"	"21"	"10"	"0"	"2"	"1年以上前"
"176"	"外壁修繕 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"177"	"防水工事 修繕費 資本的支出"	"27"	"10"	"0"	"0"	"1年以上前"
"178"	"資本的支出 少額減価償却資産の特例"	"null"	"10"	"0"	"0"	"半年以内"
"179"	"ドア交換 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"180"	"修繕費 資本的支出 フロー"	"null"	"10"	"0"	"0"	"1年以内"
"181"	"資本的支出 具体例"	"null"	"10"	"0"	"0"	"1年以上前"
"182"	"固定資産 修繕 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"183"	"クロス張替え 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"184"	"塗装工事 修繕費 資本的支出"	"null"	"10"	"0"	"0"	"過去30日"
"185"	"屋根修理修繕費資本的支出"	"22"	"10"	"0"	"0"	"1年以上前"
"186"	"資本的支出 意味"	"null"	"10"	"0"	"0"	"1年以上前"
"187"	"雨漏り修理 資本的支出"	"23"	"10"	"0"	"0"	"1年以上前"
"188"	"防水工事 資本的支出 修繕費"	"null"	"10"	"0"	"0"	"半年以内"
"189"	"個人事業主 修繕費 資本的支出"	"null"	"10"	"0"	"0"	"1年以内"
"190"	"中古資産 耐用年数 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"191"	"資本的支出 特例"	"null"	"10"	"0"	"0"	"1年以上前"
"192"	"アパート 修繕費資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"193"	"塗装費用 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"194"	"資本的支出 判定フロー"	"null"	"10"	"0"	"0"	"1年以上前"
"195"	"資本的支出 計算式"	"null"	"10"	"0"	"0"	"1年以上前"
"196"	"外壁塗装 資本的支出 耐用年数"	"null"	"10"	"0"	"1"	"1年以上前"
"197"	"屋根 資本的支出 耐用年数"	"24"	"10"	"0"	"0"	"1年以上前"
"198"	"資本的支出 除却"	"null"	"10"	"0"	"0"	"1年以上前"
"199"	"居住用賃貸建物 仕入税額控除 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"200"	"資本的支出 塗装"	"null"	"10"	"0"	"0"	"1年以上前"
"201"	"資本的支出 用途変更"	"null"	"10"	"0"	"0"	"1年以上前"
"202"	"修繕費と資本的支出の区分"	"null"	"10"	"0"	"0"	"1年以内"
"203"	"資本的支出 修繕費 判定"	"null"	"10"	"0"	"0"	"1年以上前"
"204"	"オペレーティングリース 資本的支出"	"null"	"10"	"0"	"1"	"1年以上前"
"205"	"資本的支出 フローチャート pdf"	"null"	"10"	"0"	"0"	"1年以上前"
"206"	"設備投資 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"207"	"少額資産 資本的支出"	"null"	"10"	"0"	"0"	"1年以内"
"208"	"移設 費用 資本 的 支出"	"null"	"10"	"0"	"0"	"過去90日"
"209"	"ポンプ交換 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"210"	"配管工事 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"211"	"資本的支出と修繕費の区分"	"null"	"10"	"0"	"0"	"半年以内"
"212"	"資本的支出 経費"	"null"	"10"	"0"	"0"	"1年以上前"
"213"	"旧定額法 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"214"	"シロアリ駆除 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"215"	"資本的支出 設備投資 違い"	"null"	"10"	"0"	"0"	"1年以上前"
"216"	"資本的支出 わかりやすく"	"null"	"10"	"0"	"0"	"1年以上前"
"217"	"資本的支出 減価償却費"	"null"	"10"	"0"	"0"	"1年以上前"
"218"	"外壁塗装工事 資本的支出"	"32"	"10"	"0"	"0"	"1年以上前"
"219"	"雨漏り修繕 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"220"	"資本的支出 7・3基準"	"null"	"10"	"0"	"0"	"1年以上前"
"221"	"資本的支出 固定資産台帳"	"null"	"10"	"0"	"0"	"1年以上前"
"222"	"資本的支出 判例"	"null"	"10"	"0"	"0"	"1年以上前"
"223"	"和式から洋式 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"224"	"耐震補強工事 資本的支出"	"24"	"10"	"0"	"0"	"1年以上前"
"225"	"屋根張替え 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"226"	"高額特定資産 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"227"	"修繕費 資本的支出 判例"	"null"	"10"	"0"	"0"	"1年以上前"
"228"	"資本的支出 減価償却計算 例定額法"	"null"	"10"	"0"	"0"	"1年以上前"
"229"	"和室から洋室 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"230"	"資本的支出と修繕費の違い"	"null"	"10"	"0"	"0"	"半年以内"
"231"	"ソフト バージョンアップ 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"232"	"資本的支出 収益的支出 簿記"	"null"	"10"	"0"	"4"	"1年以上前"
"233"	"修繕費 資本的支出 所得税"	"null"	"10"	"0"	"0"	"1年以上前"
"234"	"資本的支出 耐用年数延長"	"null"	"10"	"0"	"0"	"1年以上前"
"235"	"ソフトウエア 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"236"	"床の張替え 資本的支出"	"21"	"10"	"0"	"0"	"1年以上前"
"237"	"シーリング工事 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"238"	"修繕費 資本的支出 減価償却"	"null"	"10"	"0"	"0"	"1年以上前"
"239"	"資本的支出 科目"	"null"	"10"	"0"	"0"	"1年以上前"
"240"	"ユニットバス 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"241"	"大規模修繕 修繕費 資本的支出"	"33"	"10"	"0"	"0"	"1年以上前"
"242"	"原状回復 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"243"	"図説 資産別 修繕費・資本的支出等の税務"	"null"	"10"	"0"	"0"	"1年以上前"
"244"	"給湯器交換 資本的支出"	"28"	"10"	"0"	"0"	"1年以上前"
"245"	"中古資産 資本的支出 修繕費"	"null"	"10"	"0"	"0"	"1年以上前"
"246"	"エレベーター修理資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"247"	"資本的支出と修繕費の判定"	"null"	"10"	"0"	"0"	"半年以内"
"248"	"防蟻工事 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"249"	"モーター交換 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"250"	"修繕費 資本的支出 国税庁"	"null"	"10"	"0"	"0"	"1年以上前"
"251"	"バージョンアップ 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"252"	"フォークリフト バッテリー 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"253"	"耐用年数経過後 資本的支出"	"null"	"10"	"0"	"0"	"半年以内"
"254"	"屋根カバー工法 資本的支出"	"23"	"10"	"0"	"0"	"1年以上前"
"255"	"固定資産 資本的支出 フローチャート"	"null"	"10"	"0"	"0"	"1年以上前"
"256"	"便器交換 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"257"	"トイレ 改修 工事 資本 的 支出"	"null"	"10"	"0"	"0"	"1年以上前"
"258"	"機械 オーバーホール 資本的支出"	"19"	"10"	"0"	"0"	"1年以上前"
"259"	"経年劣化 修繕費 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"260"	"資本的支出 中古資産"	"null"	"10"	"0"	"0"	"1年以上前"
"261"	"資本的支出と修繕費 国税庁"	"null"	"10"	"0"	"0"	"半年以内"
"262"	"エレベーター改修工事 資本的支出"	"26"	"10"	"0"	"0"	"1年以上前"
"263"	"不動産 修繕費 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"264"	"賃借物件 資本的支出"	"null"	"10"	"0"	"0"	"過去90日"
"265"	"固定資産 移設費用 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"266"	"クロス張替え 修繕費 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"267"	"修繕費 資本的支出 個人"	"null"	"10"	"0"	"0"	"1年以上前"
"268"	"集中生産 資本的支出"	"null"	"10"	"0"	"0"	"過去90日"
"269"	"中小企業投資促進税制 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"270"	"補強工事 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"271"	"資本的支出 撤去費用"	"null"	"10"	"0"	"0"	"1年以上前"
"272"	"有形固定資産 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"273"	"資本的支出 判断"	"null"	"10"	"0"	"0"	"1年以上前"
"274"	"資本的支出 確定申告"	"null"	"10"	"0"	"0"	"1年以上前"
"275"	"減価償却 資本的支出とは"	"null"	"10"	"0"	"0"	"1年以上前"
"276"	"移設 資本的支出"	"null"	"10"	"0"	"0"	"過去90日"
"277"	"屋根葺き替え 資本的支出"	"24"	"10"	"0"	"0"	"1年以上前"
"278"	"修繕費資本的支出 耐用年数"	"null"	"10"	"0"	"0"	"1年以上前"
"279"	"屋根修繕 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"280"	"新紙幣対応 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"281"	"固定資産 資本的支出 耐用年数"	"null"	"10"	"0"	"0"	"1年以上前"
"282"	"資本的支出と修繕費の判定フローチャート"	"null"	"10"	"0"	"2"	"半年以内"
"283"	"シャッター取替 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"284"	"led交換 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"285"	"資本的支出 耐用年数 建物"	"null"	"10"	"0"	"0"	"1年以上前"
"286"	"資本的支出 耐用年数 計算"	"null"	"10"	"0"	"0"	"1年以上前"
"287"	"資本的支出 計算"	"null"	"10"	"0"	"0"	"1年以上前"
"288"	"特別償却 資本的支出"	"null"	"10"	"0"	"0"	"1年以上前"
"289"	"修繕 資本的支出 フローチャート 国税庁"	"null"	"10"	"0"	"0"	"1年以上前"
"290"	"資本的支出 運用費"	"null"	"0"	"0"	"0"	"1年以上前"
"291"	"リース 修繕 資本的支出"	"null"	"0"	"0"	"0"	"1年以上前"
"292"	"蛍光灯 led 交換 資本的支出"	"null"	"0"	"0"	"0"	"1年以上前"
"293"	"法人税 資本的支出 フローチャート"	"null"	"0"	"0"	"0"	"1年以上前"
"294"	"30万円未満 資本的支出"	"null"	"0"	"0"	"0"	"1年以上前"
"295"	"中古車 資本的支出 耐用年数"	"null"	"0"	"0"	"0"	"1年以上前"
"296"	"費用的支出 資本的支出"	"null"	"0"	"0"	"0"	"1年以上前"
"297"	"建物 資本的支出 定額法"	"null"	"0"	"0"	"0"	"1年以上前"
"298"	"修繕費 資本的支出 本"	"null"	"0"	"0"	"0"	"1年以上前"
"299"	"資本的支出 再取得価額"	"null"	"0"	"0"	"0"	"1年以上前"
"300"	"投資促進税制 ソフトウェア 資本的支出"	"null"	"0"	"0"	"0"	"1年以上前"
"301"	"発電機 バッテリー交換 資本的支出"	"null"	"0"	"0"	"0"	"1年以上前"
"302"	"リニューアル 資本的支出"	"null"	"0"	"0"	"0"	"1年以上前"
"303"	"資本的支出 実質判定"	"null"	"0"	"0"	"0"	"1年以上前"
"304"	"畳張替 資本的支出"	"null"	"0"	"0"	"0"	"1年以上前"
"305"	"定期メンテナンス 資本的支出"	"null"	"0"	"0"	"0"	"1年以上前"
"306"	"資本的支出 旅費"	"null"	"0"	"0"	"0"	"1年以上前"
"307"	"資本的支出 価値を高める"	"null"	"0"	"0"	"0"	"1年以上前"
"308"	"建物 資本的支出 耐用年数 中古"	"null"	"0"	"0"	"0"	"1年以上前"
"309"	"電気設備 資本的支出"	"null"	"0"	"0"	"0"	"1年以上前"
"310"	"資本的支出 nta"	"null"	"0"	"0"	"0"	"1年以上前"
"311"	"大規模修繕 資本的支出 耐用年数"	"33"	"0"	"0"	"0"	"1年以上前"
"312"	"中古取得 資本的支出 耐用年数"	"null"	"0"	"0"	"0"	"1年以上前"
"313"	"大規模修繕 資本的支出 仕訳"	"33"	"0"	"0"	"0"	"1年以上前"
"314"	"ポンプ 資本的支出"	"null"	"0"	"0"	"0"	"1年以上前"
"315"	"資本的支出 保険差益"	"null"	"0"	"0"	"0"	"1年以上前"
"316"	"タイルカーペット 資本的支出"	"null"	"0"	"0"	"0"	"1年以上前"
"317"	"盛土 資本的支出"	"null"	"0"	"0"	"0"	"1年以上前"
